"IBRC_Geo_ID","Metrofips/Microfips","Description","Year","Geography","Births","Deaths","Net International Migration","Net Domestic Migration","Residual"
"210100","10100","Aberdeen, SD","1990","Micro","151","91","-1","-156","15"
"210100","10100","Aberdeen, SD","1991","Micro","499","381","0","-133","-37"
"210100","10100","Aberdeen, SD","1992","Micro","550","407","10","-16","-19"
"210100","10100","Aberdeen, SD","1993","Micro","522","436","5","58","-13"
"210100","10100","Aberdeen, SD","1994","Micro","507","422","3","-29","-17"
"210100","10100","Aberdeen, SD","1995","Micro","503","381","12","-57","-14"
"210100","10100","Aberdeen, SD","1996","Micro","512","377","9","-112","-12"
"210100","10100","Aberdeen, SD","1997","Micro","537","414","10","-415","1"
"210100","10100","Aberdeen, SD","1998","Micro","514","409","13","-404","-1"
"210100","10100","Aberdeen, SD","1999","Micro","4815","3734","70","-1565","-103"
"210100","10100","Aberdeen, SD","1999","Micro","520","416","9","-301","-6"
"210100","10100","Aberdeen, SD","2000","Micro","116","99","1","-109","-1"
"210100","10100","Aberdeen, SD","2001","Micro","504","453","13","-363","-35"
"210100","10100","Aberdeen, SD","2002","Micro","453","398","13","-324","-29"
"210100","10100","Aberdeen, SD","2003","Micro","518","368","9","-226","-44"
"210100","10100","Aberdeen, SD","2004","Micro","504","393","12","-161","-36"
"210100","10100","Aberdeen, SD","2005","Micro","508","432","13","-36","-41"
"210100","10100","Aberdeen, SD","2006","Micro","502","384","13","-160","-28"
"210100","10100","Aberdeen, SD","2007","Micro","540","433","12","27","-6"
"210100","10100","Aberdeen, SD","2008","Micro","546","388","11","-204","0"
"210100","10100","Aberdeen, SD","2009","Micro","497","373","12","9","3"
"210100","10100","Aberdeen, SD","2010","Micro","137","100","11","69","1"
"210100","10100","Aberdeen, SD","2011","Micro","532","413","89","48","-3"
"210100","10100","Aberdeen, SD","2012","Micro","497","440","178","369","13"
"210100","10100","Aberdeen, SD","2013","Micro","574","438","22","423","3"
"210100","10100","Aberdeen, SD","2014","Micro","539","420","72","-113","-3"
"210100","10100","Aberdeen, SD","2015","Micro","535","437","84","4","-4"
"210100","10100","Aberdeen, SD","2016","Micro","553","402","161","79","-2"
"210100","10100","Aberdeen, SD","2017","Micro","604","417","249","-7","-3"
"210100","10100","Aberdeen, SD","2018","Micro","533","412","73","-487","2"
"210100","10100","Aberdeen, SD","2019","Micro","536","357","144","-539","0"
"210100","10100","Aberdeen, SD","2020","Micro","516","388","128","-440","-1"
"210140","10140","Aberdeen, WA","1990","Micro","252","174","-2","146","1"
"210140","10140","Aberdeen, WA","1991","Micro","966","740","24","46","-45"
"210140","10140","Aberdeen, WA","1992","Micro","964","729","27","537","-38"
"210140","10140","Aberdeen, WA","1993","Micro","892","745","7","462","-37"
"210140","10140","Aberdeen, WA","1994","Micro","859","725","25","527","-31"
"210140","10140","Aberdeen, WA","1995","Micro","838","733","12","516","-17"
"210140","10140","Aberdeen, WA","1996","Micro","872","718","25","330","-26"
"210140","10140","Aberdeen, WA","1997","Micro","884","747","32","87","-12"
"210140","10140","Aberdeen, WA","1998","Micro","881","792","29","-659","-11"
"210140","10140","Aberdeen, WA","1999","Micro","912","761","36","-543","-5"
"210140","10140","Aberdeen, WA","1999","Micro","8320","6864","215","1449","-221"
"210140","10140","Aberdeen, WA","2000","Micro","212","169","28","-114","0"
"210140","10140","Aberdeen, WA","2001","Micro","772","870","108","898","-53"
"210140","10140","Aberdeen, WA","2002","Micro","763","789","103","298","-66"
"210140","10140","Aberdeen, WA","2003","Micro","856","753","87","596","-63"
"210140","10140","Aberdeen, WA","2004","Micro","800","779","96","551","-70"
"210140","10140","Aberdeen, WA","2005","Micro","872","820","97","430","-69"
"210140","10140","Aberdeen, WA","2006","Micro","860","720","99","521","-50"
"210140","10140","Aberdeen, WA","2007","Micro","866","759","90","300","-8"
"210140","10140","Aberdeen, WA","2008","Micro","896","818","89","-56","-7"
"210140","10140","Aberdeen, WA","2009","Micro","908","771","88","134","-9"
"210140","10140","Aberdeen, WA","2010","Micro","219","196","9","28","-11"
"210140","10140","Aberdeen, WA","2011","Micro","829","798","40","-546","0"
"210140","10140","Aberdeen, WA","2012","Micro","798","767","28","-656","8"
"210140","10140","Aberdeen, WA","2013","Micro","794","841","26","-714","9"
"210140","10140","Aberdeen, WA","2014","Micro","746","804","17","-217","-5"
"210140","10140","Aberdeen, WA","2015","Micro","789","824","5","267","-6"
"210140","10140","Aberdeen, WA","2016","Micro","776","832","-4","590","-2"
"210140","10140","Aberdeen, WA","2017","Micro","736","851","-12","1074","5"
"210140","10140","Aberdeen, WA","2018","Micro","744","888","-17","1438","3"
"210140","10140","Aberdeen, WA","2019","Micro","724","887","-7","1433","-3"
"210140","10140","Aberdeen, WA","2020","Micro","748","978","0","1136","-3"
"210180","10180","Abilene, TX","1990","Metro","633","341","43","-526","-56"
"210180","10180","Abilene, TX","1991","Metro","2482","1308","148","-2362","-6"
"210180","10180","Abilene, TX","1992","Metro","2516","1454","170","223","-73"
"210180","10180","Abilene, TX","1993","Metro","2282","1368","197","858","-121"
"210180","10180","Abilene, TX","1994","Metro","2300","1439","133","-1000","-58"
"210180","10180","Abilene, TX","1995","Metro","2398","1467","184","451","-70"
"210180","10180","Abilene, TX","1996","Metro","2245","1467","197","-1300","-17"
"210180","10180","Abilene, TX","1997","Metro","2300","1437","259","-806","-8"
"210180","10180","Abilene, TX","1998","Metro","2387","1397","172","-784","-28"
"210180","10180","Abilene, TX","1999","Metro","2359","1456","147","-260","2"
"210180","10180","Abilene, TX","1999","Metro","21902","13134","1650","-5506","-435"
"210180","10180","Abilene, TX","2000","Metro","582","342","91","-463","-1"
"210180","10180","Abilene, TX","2001","Metro","2375","1547","134","-2667","-112"
"210180","10180","Abilene, TX","2002","Metro","2337","1577","-93","-689","-151"
"210180","10180","Abilene, TX","2003","Metro","2244","1471","-592","-18","-228"
"210180","10180","Abilene, TX","2004","Metro","2381","1573","465","-608","-147"
"210180","10180","Abilene, TX","2005","Metro","2457","1542","110","-732","-151"
