"IBRC_Geo_ID","State","District Name","Year","Births","Deaths","Net International Migration","Net Domestic Migration","Residual"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1990","195","55","3","155","0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1991","766","146","18","800","-9"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1992","736","151","43","129","-15"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1993","703","194","42","70","-12"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1994","693","192","26","778","-24"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1995","690","187","28","496","-9"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1996","678","210","31","543","-11"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1997","682","247","36","94","-5"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1998","642","248","16","112","-9"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1999","6463","1876","274","3395","-103"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1999","678","246","31","218","-9"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2000","135","80","3","-99","-2"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2001","622","278","20","81","-57"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2002","615","293","17","487","-40"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2003","643","317","1","-150","-76"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2004","620","312","32","97","-39"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2005","616","294","23","-85","-54"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2006","642","288","28","306","-36"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2007","676","320","22","677","4"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2008","668","342","25","64","-2"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2009","700","364","23","638","17"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2010","183","108","7","75","0"
